"Name","ID","Group","blur_kernel_size","morph_iterations","morph_kernel_size","threshold_high","threshold_low","detection_rate","mean_iou"
"canny-trial-0130","ope7gk8e","20260611-152809","11","14","7","80.71882672237234","57.55875127924395","0.5196078431372549","0.5655255587622199"
"canny-trial-0116","99j9giv9","20260611-152809","11","14","7","103.63362908508664","68.45000298620516","0.5196078431372549","0.4789537582114572"
"canny-trial-0094","85t8ycys","20260611-152809","11","15","5","74.08092216537861","23.613420316844035","0.5196078431372549","0.568101670136232"
"canny-trial-0091","zt4efwr4","20260611-152809","11","14","5","73.86938590409179","35.713434060728225","0.5098039215686274","0.5531167317570563"
"canny-trial-0148","n070mkfj","20260611-152809","11","11","7","93.634843367348","51.418497000043466","0.5098039215686274","0.49952123340450366"
"canny-trial-0106","t73mojj9","20260611-152809","11","15","5","93.88673897032992","43.46760163692009","0.5098039215686274","0.4970275348735184"
"canny-trial-0101","kt8x5w6y","20260611-152809","11","15","5","82.67006471927942","32.53571504948326","0.5098039215686274","0.5409782948483034"
"canny-trial-0042","8b9z0lfz","20260611-152809","9","15","5","109.20717477962609","33.597444931647345","0.5","0.4937538001101443"
"canny-trial-0083","8qzkpnfw","20260611-152809","9","14","5","109.60220387704736","29.99992777663506","0.5","0.49364333725133946"
"canny-trial-0137","napymake","20260611-152809","11","15","7","76.23053419132326","59.67880779416277","0.5","0.5831380560657388"
"canny-trial-0079","n9kgmh6t","20260611-152809","9","15","5","110.46790359800605","16.207991348879645","0.5","0.4961360339201751"
"canny-trial-0041","1hmn5igw","20260611-152809","9","15","5","109.49528619355726","33.88655222493337","0.5","0.4937538001101443"
"canny-trial-0104","tuzy58m0","20260611-152809","11","15","5","93.55256135609504","39.67603608898869","0.5","0.49617196558331306"
"canny-trial-0113","qqcc10gc","20260611-152809","11","14","7","81.31979632135496","64.66218597215129","0.5","0.5330575271874216"
"canny-trial-0149","bo59n8b1","20260611-152809","11","13","7","103.33785924233892","68.66535179331036","0.5","0.4694019247526899"
"canny-trial-0090","rch8y5py","20260611-152809","11","14","5","70.95302489238045","34.71791911816247","0.5","0.5447800342790282"
"canny-trial-0107","j9c9mivr","20260611-152809","11","15","5","100.0463157195831","49.99676890274034","0.5","0.4710529387768468"
"canny-trial-0070","iaxyj2ku","20260611-152809","9","15","5","111.70492114835682","20.61367914135028","0.5","0.4931519584854474"
"canny-trial-0115","ex7xxt6a","20260611-152809","11","15","7","96.50837174832122","86.3190843262199","0.5","0.4885559119562411"
"canny-trial-0093","xjllty2v","20260611-152809","11","13","5","71.34779991204418","30.978428256370567","0.4901960784313726","0.5526259852067857"
"canny-trial-0063","vaq6iurw","20260611-152809","9","14","5","105.33365156616212","18.005713740500056","0.4901960784313726","0.4988828552580218"
"canny-trial-0038","txwdeqoi","20260611-152809","9","15","5","107.76902892044755","31.405953644198924","0.4901960784313726","0.4993544615383162"
"canny-trial-0088","5241030x","20260611-152809","9","14","5","107.84121753613049","25.228063899219705","0.4901960784313726","0.4990992358099144"
"canny-trial-0068","oshmcygk","20260611-152809","9","15","5","118.7019063932334","11.37477692702437","0.4803921568627451","0.4842823491537029"
"canny-trial-0080","tviub2jl","20260611-152809","9","15","5","118.01190277098836","23.988084859845173","0.4803921568627451","0.4781002236288545"
"canny-trial-0121","uhe1z36x","20260611-152809","11","15","7","107.80754744754844","79.31675942714821","0.4803921568627451","0.45212903264623705"
"canny-trial-0065","br178rv3","20260611-152809","9","14","5","109.56603846139984","46.01955982870737","0.4803921568627451","0.4694144281392481"
"canny-trial-0081","xgrws6du","20260611-152809","9","14","5","115.38445565809792","14.307880221075507","0.4803921568627451","0.4804604068942898"
"canny-trial-0119","lo6g18rd","20260611-152809","11","15","7","103.06600183911124","80.22723910554245","0.4803921568627451","0.4714692540134356"
"canny-trial-0073","wqz2r29i","20260611-152809","9","14","5","118.14258902086596","15.024419826970108","0.4803921568627451","0.4802076251785739"
"canny-trial-0132","c7hbykzj","20260611-152809","11","15","7","77.63490651444576","67.63234621115492","0.4705882352941176","0.558026011448409"
"canny-trial-0136","kr868gco","20260611-152809","11","15","7","110.08946870941976","76.33704974388672","0.4705882352941176","0.4480980833960352"
"canny-trial-0072","i62akatt","20260611-152809","9","14","5","103.61306022779054","15.465542853786358","0.4705882352941176","0.490370114454615"
"canny-trial-0054","s4ftofh6","20260611-152809","9","13","5","106.72744922871112","47.05156375090906","0.46078431372549017","0.4533380738873177"
"canny-trial-0048","plhs8bmv","20260611-152809","9","15","5","120.19635735497953","33.74690900504467","0.46078431372549017","0.4702523657688366"
"canny-trial-0055","6j4fp1g9","20260611-152809","9","13","5","107.33569992314956","48.4547348371032","0.46078431372549017","0.4549665614416883"
"canny-trial-0064","ucqhzgxf","20260611-152809","9","13","5","116.70446934951384","28.704797782376595","0.4509803921568627","0.45339493735855074"
"canny-trial-0085","ijl1ujzx","20260611-152809","9","15","5","101.14595825253171","30.114525855017742","0.4509803921568627","0.4967520482468066"
"canny-trial-0069","f5bxsat0","20260611-152809","9","15","5","122.44824098640925","13.191332011014932","0.4411764705882353","0.4614255429411008"
"canny-trial-0061","xfwc02da","20260611-152809","9","14","5","92.70835506977248","18.42879671085725","0.4411764705882353","0.4808973782521426"
"canny-trial-0059","4cf3i8j9","20260611-152809","9","14","5","103.91335721369715","68.85720407892222","0.43137254901960786","0.43110328334007103"
"canny-trial-0062","8g8uk0es","20260611-152809","9","13","5","90.48970742161774","18.193847379532524","0.43137254901960786","0.47196319263985353"
"canny-trial-0052","835ab8i4","20260611-152809","9","15","5","94.64746024072096","39.34045314305961","0.43137254901960786","0.4845194938276792"
"canny-trial-0098","54xzgpso","20260611-152809","11","15","5","66.67656178173662","36.02164368952702","0.43137254901960786","0.5399170905370069"
