method,rank,score,source_photo,crop_image,gt_person_id,correct
centroid,81,0.656,EjBRbsZ4L3kT36j/20260428_172124,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172124/face_00.jpg,,1
centroid,82,0.6554,8a6stfqDGdg3MHX/20260428_165744,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165744/face_03.jpg,,1
centroid,83,0.6544,8a6stfqDGdg3MHX/20260428_165129,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165129/face_01.jpg,,1
centroid,84,0.6537,GRNn5dqntxTo6Am/20260429_162936,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_162936/face_01.jpg,,1
centroid,85,0.6534,FCXZ97GMYoZfET9/20260421_183527,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183527/face_02.jpg,,1
centroid,86,0.6473,8a6stfqDGdg3MHX/20260428_164907,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_164907/face_01.jpg,,1
centroid,87,0.6459,FCXZ97GMYoZfET9/20260421_183341,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183341/face_00.jpg,,1
centroid,88,0.6438,CdSg23WdQcjMDrZ/20260421_175529,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175529/face_02.jpg,,1
centroid,89,0.6437,PKRGk5ArAJnotHc/20260428_164417,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164417/face_04.jpg,,1
centroid,90,0.6435,EcGMKXPB8XXMrSj/20260514_182549,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182549/face_04.jpg,,1
centroid,91,0.6407,EjBRbsZ4L3kT36j/20260428_171954,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171954/face_01.jpg,,1
centroid,92,0.6382,GRNn5dqntxTo6Am/20260429_164531,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164531/face_06.jpg,,1
centroid,93,0.6374,EjBRbsZ4L3kT36j/20260428_171721,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171721/face_01.jpg,,1
centroid,94,0.636,GRNn5dqntxTo6Am/20260429_163202,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163202/face_03.jpg,,1
centroid,95,0.6345,GRNn5dqntxTo6Am/20260429_164426,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164426/face_00.jpg,,1
centroid,96,0.6341,EjBRbsZ4L3kT36j/20260428_172100,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172100/face_02.jpg,,1
centroid,97,0.6339,EjBRbsZ4L3kT36j/20260428_172050,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172050/face_01.jpg,,1
centroid,98,0.6329,CdSg23WdQcjMDrZ/20260421_181001,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_181001/face_00.jpg,,1
centroid,99,0.6281,GRNn5dqntxTo6Am/20260429_163124,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163124/face_02.jpg,,1
centroid,100,0.6266,FCXZ97GMYoZfET9/20260421_181830,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_181830/face_08.jpg,,1
