method,rank,score,source_photo,crop_image,gt_person_id,correct
max,61,0.7439,EjBRbsZ4L3kT36j/20260428_171721,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171721/face_00.jpg,,1
max,62,0.7429,XfBqCe7qtcbfMLb/20260429_171553,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171553/face_02.jpg,,1
max,63,0.7429,EjBRbsZ4L3kT36j/20260428_171702,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171702/face_02.jpg,,1
max,64,0.7419,6FTSxPHGgTHarEB/20260430_174356,data/steps/face_crop/6FTSxPHGgTHarEB/20260430_174356/face_02.jpg,,1
max,65,0.7382,GRNn5dqntxTo6Am/20260429_164348,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164348/face_00.jpg,,1
max,66,0.7377,XfBqCe7qtcbfMLb/20260429_171336,data/steps/face_crop/XfBqCe7qtcbfMLb/20260429_171336/face_00.jpg,,1
max,67,0.7367,8a6stfqDGdg3MHX/20260428_170856,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_170856/face_02.jpg,,1
max,68,0.7365,CdSg23WdQcjMDrZ/20260421_180939,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180939/face_00.jpg,,1
max,69,0.7359,PKRGk5ArAJnotHc/20260428_163740,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_163740/face_00.jpg,,0
max,70,0.7358,FCXZ97GMYoZfET9/20260421_183733,data/steps/face_crop/FCXZ97GMYoZfET9/20260421_183733/face_02.jpg,,1
max,71,0.7348,EjBRbsZ4L3kT36j/20260428_171622,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171622/face_00.jpg,,1
max,72,0.7347,CdSg23WdQcjMDrZ/20260421_175559,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175559/face_00.jpg,,1
max,73,0.7343,fQizjwKj2MaqQQC/20260506_172112,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172112/face_01.jpg,I0012,0
max,74,0.7325,GRNn5dqntxTo6Am/20260429_163956,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163956/face_00.jpg,,1
max,75,0.7324,CdSg23WdQcjMDrZ/20260421_180923,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180923/face_02.jpg,,0
max,76,0.7324,PKRGk5ArAJnotHc/20260428_164256,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164256/face_00.jpg,,1
max,77,0.7322,CdSg23WdQcjMDrZ/20260421_180256,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180256/face_01.jpg,I0012,0
max,78,0.7312,fQizjwKj2MaqQQC/20260506_172458,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172458/face_00.jpg,,0
max,79,0.7309,fQizjwKj2MaqQQC/20260506_172506,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_172506/face_00.jpg,,1
max,80,0.7308,GRNn5dqntxTo6Am/20260429_163727,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163727/face_00.jpg,,1
max,81,0.7297,EjBRbsZ4L3kT36j/20260428_171817,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171817/face_00.jpg,,1
max,82,0.7296,EcGMKXPB8XXMrSj/20260514_182549,data/steps/face_crop/EcGMKXPB8XXMrSj/20260514_182549/face_03.jpg,,1
max,83,0.7296,CdSg23WdQcjMDrZ/20260421_175423,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_175423/face_03.jpg,,1
max,84,0.7295,EjBRbsZ4L3kT36j/20260428_171954,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_171954/face_00.jpg,,1
max,85,0.7293,CdSg23WdQcjMDrZ/20260421_180618,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_180618/face_00.jpg,,1
max,86,0.7287,3fBXinPqztWt3CP/20260421_190014,data/steps/face_crop/3fBXinPqztWt3CP/20260421_190014/face_02.jpg,,0
max,87,0.7285,GRNn5dqntxTo6Am/20260429_164046,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164046/face_00.jpg,,1
max,88,0.7283,EjBRbsZ4L3kT36j/20260428_172050,data/steps/face_crop/EjBRbsZ4L3kT36j/20260428_172050/face_00.jpg,,1
max,89,0.726,GRNn5dqntxTo6Am/20260429_163618,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_163618/face_06.jpg,,1
max,90,0.7256,fQizjwKj2MaqQQC/20260506_171737,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_171737/face_00.jpg,,1
max,91,0.7247,GRNn5dqntxTo6Am/20260429_165619,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_165619/face_03.jpg,,1
max,92,0.7237,6FTSxPHGgTHarEB/20260430_174058,data/steps/face_crop/6FTSxPHGgTHarEB/20260430_174058/face_01.jpg,,1
max,93,0.7236,GRNn5dqntxTo6Am/20260429_164902,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164902/face_00.jpg,,1
max,94,0.7226,PKRGk5ArAJnotHc/20260428_163702,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_163702/face_00.jpg,,1
max,95,0.7212,3fBXinPqztWt3CP/20260421_185732,data/steps/face_crop/3fBXinPqztWt3CP/20260421_185732/face_00.jpg,,0
max,96,0.7186,fQizjwKj2MaqQQC/20260506_171046,data/steps/face_crop/fQizjwKj2MaqQQC/20260506_171046/face_03.jpg,,1
max,97,0.7184,PKRGk5ArAJnotHc/20260428_164245,data/steps/face_crop/PKRGk5ArAJnotHc/20260428_164245/face_00.jpg,,1
max,98,0.7178,8a6stfqDGdg3MHX/20260428_165852,data/steps/face_crop/8a6stfqDGdg3MHX/20260428_165852/face_00.jpg,,0
max,99,0.7171,GRNn5dqntxTo6Am/20260429_164057,data/steps/face_crop/GRNn5dqntxTo6Am/20260429_164057/face_00.jpg,,1
max,100,0.7164,CdSg23WdQcjMDrZ/20260421_174111,data/steps/face_crop/CdSg23WdQcjMDrZ/20260421_174111/face_00.jpg,,0
